n,metric,strategy_name,dataset_source,value
12,U2,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40,2.20100214392005e-05
12,PEEQ,N12_A13_graph_pointer_policy_anti_odd_even_novelty,probe60_run08,0.1403219699859619
12,SurfaceT,N12_A09_center_edge_alternating,probe60_run08,580752832.0
12,Mises,N12_A06_edge_in_alternating,probe60_run08,579937984.0
12,target_reward_combined520_u2_primary,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40,0.89484126984127
12,target_reward_combined520_constrained_u2_reward_balanced,S3R69SNR_N12_B04_n12_diversity,run71_smallN_recovery_focused_batch40,0.8476190476190476
12,target_reward_combined520_strict_penalty_guard,S3R69SNR_N12_B04_n12_diversity,run71_smallN_recovery_focused_batch40,0.8428571428571429
12,target_reward_combined520_penalty_repair,S3R69SNR_N12_B04_n12_diversity,run71_smallN_recovery_focused_batch40,0.8055555555555556
16,U2,S3R69SNR_N16_B09_n16_recovery_top,run71_smallN_recovery_focused_batch40,3.467050373728853e-05
16,PEEQ,S3R69SNR_N16_B16_n16_uncertainty,run71_smallN_recovery_focused_batch40,0.1472253948450088
16,SurfaceT,S3R69SNR_N16_B08_n16_reward_bal,run71_smallN_recovery_focused_batch40,580893440.0
16,Mises,N16_A07_regular_jump_coprime,probe60_run08,579946752.0
16,target_reward_combined520_u2_primary,S3R69SNR_N16_B02_n16_run66_local,run71_smallN_recovery_focused_batch40,0.9107142857142858
16,target_reward_combined520_constrained_u2_reward_balanced,S3R69SNR_N16_B02_n16_run66_local,run71_smallN_recovery_focused_batch40,0.8968253968253967
16,target_reward_combined520_strict_penalty_guard,S3R69SNR_N16_B02_n16_run66_local,run71_smallN_recovery_focused_batch40,0.8928571428571428
16,target_reward_combined520_penalty_repair,S3R69SNR_N16_B02_n16_run66_local,run71_smallN_recovery_focused_batch40,0.8829365079365081
24,U2,S3R49SCN_N24_B09_median_guard,run51_stricter_constrained_N24_N40_batch32,2.9523077955673216e-05
24,PEEQ,S3R59N40PR40_N24_B09_n24_diversity,run61_custom_N40_focused_batch40,0.1492166519165039
24,SurfaceT,S3R24L64_N24_B06_model_disagreement,shortlist64_run27,580875968.0
24,Mises,N24_A06_edge_in_alternating,probe60_run08,579942784.0
24,target_reward_combined520_u2_primary,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8704545454545456
24,target_reward_combined520_constrained_u2_reward_balanced,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8542780748663101
24,target_reward_combined520_strict_penalty_guard,S3R44CNS_N24_B16_uncertainty,run46_constrained_N24_N40_batch32,0.8489304812834224
24,target_reward_combined520_penalty_repair,S3R69SNR_N24_B04_n24_uncertainty,run71_smallN_recovery_focused_batch40,0.8482620320855615
40,U2,S3R64VNR_N40_B15_n40_u2ret_anchor,run66_variable_N_recovery_anchor_batch48,4.5779268475598656e-05
40,PEEQ,S3R39N2440B60_N40_B10_surrogate_top,run41_native_N24_N40_focused_batch60,0.1440253555774688
40,SurfaceT,S3R19B28_N40_B06_uncertainty_calibration,batch28_run20,581119040.0
40,Mises,N40_A07_regular_jump_coprime,probe60_run08,579924032.0
40,target_reward_combined520_u2_primary,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48,0.9399014778325122
40,target_reward_combined520_constrained_u2_reward_balanced,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48,0.9100985221674878
40,target_reward_combined520_strict_penalty_guard,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48,0.8990147783251231
40,target_reward_combined520_penalty_repair,S3R64VNR_N40_B03_n40_penalty_anchor,run66_variable_N_recovery_anchor_batch48,0.8763546798029557
